"prefix","id","level","class_name","article","status","source","create_date","target_url","publisher"
"10.1111",59009,"ERROR","Net::HTTPInternalServerError","10.1111/j.1526-4610.2011.01998.x",500,"pmceuropedata","2014-11-11T11:49:53Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21929661/databaseLinks//1/json","Wiley-Blackwell"
"10.1007",59008,"ERROR","Net::HTTPInternalServerError","10.1007/s10578-012-0349-3",500,"pmceuropedata","2014-11-11T11:49:52Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23239427/databaseLinks//1/json","Springer Science + Business Media"
"10.1104",59007,"ERROR","Net::HTTPInternalServerError","10.1104/pp.111.189670",500,"pmceuropedata","2014-11-11T11:48:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22190341/databaseLinks//1/json","American Society of Plant Biologists (ASPB)"
"10.1016",59006,"ERROR","Net::HTTPInternalServerError","10.1016/j.nmd.2010.12.002",500,"pmceuropedata","2014-11-11T11:48:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21256750/databaseLinks//1/json","Elsevier BV"
"10.1016",59005,"ERROR","Net::HTTPInternalServerError","10.1016/j.atherosclerosis.2014.05.925",500,"pmceuropedata","2014-11-11T11:48:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24929285/databaseLinks//1/json","Elsevier BV"
"10.1155",59004,"ERROR","Net::HTTPInternalServerError","10.1155/2012/245167",500,"pmceuropedata","2014-11-11T11:48:12Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22778721/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1155",59003,"ERROR","Net::HTTPInternalServerError","10.1155/2012/517375",500,"pmceuropedata","2014-11-11T11:48:11Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22888438/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1371",59002,"ERROR","Net::HTTPInternalServerError","10.1371/journal.ppat.1002660",500,"pmceuropedata","2014-11-11T11:48:09Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22563306/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1155",59001,"ERROR","Net::HTTPInternalServerError","10.1155/2012/318957",500,"pmceuropedata","2014-11-11T11:48:09Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22778923/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1155",59000,"ERROR","Net::HTTPInternalServerError","10.1155/2011/364319",500,"pmceuropedata","2014-11-11T11:46:31Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22046516/databaseLinks//1/json","Hindawi Publishing Corporation"
